Fecha,agerange,Población
2021-12-02,<=39,8064063.0
2021-12-03,<=39,8093837.0
2021-12-04,<=39,8095783.0
2021-12-05,<=39,8095895.0
2021-12-06,<=39,8124574.0
2021-12-07,<=39,8156021.0
2021-12-08,<=39,8185642.0
2021-12-09,<=39,8214121.0
2021-12-10,<=39,8240209.0
2021-12-11,<=39,8242851.0
2021-12-12,<=39,8243112.0
2021-12-13,<=39,8261305.0
2021-12-14,<=39,8285760.0
2021-12-15,<=39,8307217.0
2021-12-16,<=39,8327753.0
2021-12-17,<=39,8347051.0
2021-12-18,<=39,8349111.0
2021-12-19,<=39,8349310.0
2021-12-20,<=39,8370165.0
2021-12-21,<=39,8390873.0
2021-12-22,<=39,8391142.0
2021-12-23,<=39,8412041.0
2021-12-24,<=39,8429855.0
2021-12-25,<=39,8432194.0
2021-12-26,<=39,8432473.0
2021-12-27,<=39,8452223.0
2021-12-28,<=39,8470389.0
2021-12-29,<=39,8487122.0
2021-12-30,<=39,8501581.0
2021-12-31,<=39,8514208.0
2022-01-01,<=39,8515763.0
2022-01-02,<=39,8515886.0
2022-01-03,<=39,8528830.0
2022-01-04,<=39,8541425.0
2022-01-05,<=39,8552290.0
2022-01-06,<=39,8561045.0
2022-01-07,<=39,8563093.0
2022-01-08,<=39,8563095.0
2022-01-09,<=39,8563196.0
2022-01-10,<=39,8576790.0
2022-01-11,<=39,8591543.0
2022-01-12,<=39,8605996.0
2022-01-13,<=39,8619195.0
2022-01-14,<=39,8622173.0
2022-01-15,<=39,8622176.0
2022-01-16,<=39,8622222.0
2022-01-17,<=39,8636639.0
2022-01-18,<=39,8652354.0
2022-01-19,<=39,8663548.0
2022-01-20,<=39,8689624.0
2022-01-21,<=39,8716721.0
2022-01-22,<=39,8718663.0
2022-01-23,<=39,8718834.0
2022-01-24,<=39,8746444.0
2022-01-25,<=39,8771533.0
2022-01-26,<=39,8793872.0
2022-01-27,<=39,8815248.0
2022-01-28,<=39,8835170.0
2022-01-29,<=39,8836957.0
2022-01-30,<=39,8837047.0
2022-01-31,<=39,8858491.0
2022-02-01,<=39,8875509.0
2022-02-02,<=39,8893370.0
2022-02-03,<=39,8907168.0
2022-02-04,<=39,8917578.0
2022-02-05,<=39,8918537.0
2022-02-06,<=39,8918597.0
2022-02-07,<=39,8933664.0
2022-02-08,<=39,8949039.0
2022-02-09,<=39,8963467.0
2022-02-10,<=39,8976602.0
2022-02-11,<=39,8986657.0
2022-02-12,<=39,8987462.0
2022-02-13,<=39,8987526.0
2022-02-14,<=39,9002467.0
2022-02-15,<=39,9016733.0
