Fecha,agerange,Porcentaje de la población
2021-11-16,<=39,66.47629554068457
2021-11-17,<=39,67.23774418642385
2021-11-18,<=39,67.9368802640382
2021-11-19,<=39,68.54629915250067
2021-11-20,<=39,68.5823635261975
2021-11-21,<=39,68.58405782563293
2021-11-22,<=39,68.94935416263822
2021-11-23,<=39,69.45301828686964
2021-11-24,<=39,69.94282322101024
2021-11-25,<=39,70.41122081625251
2021-11-26,<=39,70.81870431274508
2021-11-27,<=39,70.84961407175744
2021-11-28,<=39,70.85162213034756
2021-11-29,<=39,71.23847820355492
2021-11-30,<=39,71.62989723132647
2021-12-01,<=39,71.98953693899975
2021-12-02,<=39,72.30730324634047
2021-12-03,<=39,72.57424953516582
2021-12-04,<=39,72.59171247326212
2021-12-05,<=39,72.59271650255718
2021-12-06,<=39,72.84995418668115
2021-12-07,<=39,73.13195195038517
2021-12-08,<=39,73.39757148621347
2021-12-09,<=39,73.65293557995646
2021-12-10,<=39,73.88688337025383
2021-12-11,<=39,73.91062149144429
2021-12-12,<=39,73.91296123828367
2021-12-13,<=39,74.07608910508986
2021-12-14,<=39,74.29536193149418
2021-12-15,<=39,74.4877859388028
2021-12-16,<=39,74.67194463352169
2021-12-17,<=39,74.84499625416392
2021-12-18,<=39,74.86348115064985
2021-12-19,<=39,74.86526509555804
2021-12-20,<=39,75.05237312633119
2021-12-21,<=39,75.23812751046543
2021-12-22,<=39,75.24054793823034
2021-12-23,<=39,75.42797869270544
2021-12-24,<=39,75.5877179606408
2021-12-25,<=39,75.60867707217528
2021-12-26,<=39,75.61117818086565
2021-12-27,<=39,75.78823695414087
2021-12-28,<=39,75.95119449454879
2021-12-29,<=39,76.10118033504637
2021-12-30,<=39,76.23088836960254
2021-12-31,<=39,76.34416438899932
2022-01-01,<=39,76.35810426001561
2022-01-02,<=39,76.35920689933073
2022-01-03,<=39,76.47527089293077
2022-01-04,<=39,76.58819729498371
2022-01-05,<=39,76.68559710115228
2022-01-06,<=39,76.76416239349109
2022-01-07,<=39,76.7825307508624
2022-01-08,<=39,76.78254867995696
2022-01-09,<=39,76.78345409923199
2022-01-10,<=39,76.90538987129868
2022-01-11,<=39,77.03774244730168
2022-01-12,<=39,77.1674325527633
2022-01-13,<=39,77.28581836410817
2022-01-14,<=39,77.31253271499472
2022-01-15,<=39,77.31255064408927
