FECHA_DEF,muertes_observadas,muertes_esperadas_HDI5%,muertes_esperadas_HDI50%,muertes_esperadas_HDI95%,muertes_exceso_HDI5%,muertes_exceso_HDI50%,muertes_exceso_HDI95%,muertes_exceso_acumulado_HDI5%,muertes_exceso_acumulado_HDI50%,muertes_exceso_acumulado_HDI95%
2018-11-05,1958,1884.0407718618383,1966.2444082710733,2047.6749640445685,-89.67496404456851,-8.244408271073326,73.95922813816172,-6871.745392602049,-3351.9324614050875,208.6123919331603
2018-11-12,1961,1884.414043723592,1966.3775343935354,2049.469492571643,-88.46949257164307,-5.377534393535257,76.58595627640813,-6878.5601981814325,-3355.6561870028336,208.61026179789397
2018-11-19,2009,1886.177752748365,1966.385540125073,2046.345083890794,-37.34508389079417,42.61445987492698,122.82224725163489,-6841.550882493712,-3310.228675820338,243.10892761054177
2018-11-26,1862,1866.2864198597472,1946.701638958043,2027.131255431479,-165.13125543147902,-84.70163895804296,-4.286419859747139,-6936.4757667192725,-3395.6647073238382,150.1755954813295
2018-12-03,1919,1867.5651796270456,1948.6158473102496,2030.7218438296595,-111.7218438296596,-29.615847310249592,51.43482037295431,-6965.477119299102,-3432.112679701944,138.2998138860049
2018-12-10,1878,1864.5209920922503,1946.337422125555,2028.087449222579,-150.08744922257887,-68.33742212555478,13.47900790774974,-7044.248093715481,-3505.0943728759576,60.49832933969807
2018-12-17,1940,1868.8974703944602,1948.782580803806,2030.3141826847914,-90.31418268479145,-8.782580803806127,71.1025296055396,-7047.372131652314,-3503.8275384988506,44.26627568166777
2018-12-24,1899,1868.0764822107346,1948.0248713040457,2031.5580272806662,-132.5580272806663,-49.024871304045746,30.92351778926529,-7100.795671378835,-3548.509752223793,-7.050782326589987
2018-12-31,2016,1888.8498184943926,1970.1997969816605,2052.822968451523,-36.82296845152339,45.800203018339516,127.15018150560735,-7048.931051983585,-3510.0688141188775,51.06765928330763
2019-01-07,1779,1889.8967814647242,1971.3207594677415,2053.369589222823,-274.3695892228232,-192.32075946774148,-110.89678146472426,-7239.131077557989,-3699.053171505947,-150.6340513012559
2019-01-14,1864,1887.5133437347201,1972.5014550053502,2053.4120486191027,-189.41204861910276,-108.50145500535018,-23.5133437347201,-7356.492084082709,-3799.71346283758,-250.5472932581906
2019-01-21,1958,1890.6282087230857,1972.3145398409201,2052.854196928465,-94.85419692846507,-14.314539840920133,67.37179127691441,-7381.438853316466,-3804.43355522629,-247.52579902156856
2019-01-28,1973,1838.971771091071,1920.8768113170077,2002.2936022456556,-29.29360224565571,52.12318868299235,134.02822890892872,-7337.905897319082,-3765.6305851266306,-194.69924826266367
2019-02-04,1959,1838.3274025777519,1920.9670222770742,2003.8026235319674,-44.80262353196736,38.03297772292569,120.67259742224816,-7293.858715593986,-3732.286522916512,-149.83259886003677
2019-02-11,1922,1839.2902030976888,1921.2780044272886,2001.3733776706038,-79.37337767060382,0.7219955727113074,82.70979690231104,-7304.811088235555,-3723.2765253459306,-159.99402368361237
2019-02-18,1909,1841.2228611951657,1920.6552281111312,2004.9544315893388,-95.95443158933874,-11.65522811113135,67.77713880483434,-7328.313841241051,-3744.0537890634505,-178.19897502262106
2019-02-25,1854,1807.322417869079,1889.701822818316,1971.5152031203213,-117.51520312032127,-35.70182281831592,46.67758213092104,-7348.933217543781,-3780.559903891448,-200.08777199565978
2019-03-04,1819,1809.2436057957875,1889.7144561025966,1969.8632610648997,-150.86326106489972,-70.71445610259661,9.756394204212548,-7415.654141367317,-3855.117958466591,-276.11499429726166
2019-03-11,1857,1809.8730619974278,1891.089149554975,1970.9170072017314,-113.91700720173135,-34.08914955497494,47.126938002572025,-7454.820714118409,-3879.671211013623,-303.11772101138564
2019-03-18,1877,1810.9511546097626,1891.3152758956649,1973.3163204049863,-96.31632040498643,-14.31527589566474,66.04884539023716,-7474.748733099698,-3902.057011860932,-320.9311446114015
2019-03-25,1867,1891.5209693713698,1974.1192835758725,2055.0339249758263,-188.03392497582618,-107.11928357587249,-24.520969371369702,-7595.955603610374,-4014.659145397118,-421.42976570991885
2019-04-01,1969,1892.8472097120853,1975.1782520530437,2055.65624898539,-86.65624898539002,-6.178252053043707,76.15279028791467,-7600.666533505262,-4013.5379490373193,-432.83238116913367
2019-04-08,1967,1893.6675957824664,1974.2959981788867,2057.2215681909297,-90.22156819092974,-7.295998178886862,73.3324042175335,-7607.824454979064,-4023.5417320879214,-430.52225865171647
2019-04-15,1981,1893.922872160404,1975.249446472992,2057.0769770799675,-76.0769770799675,5.750553527008037,87.07712783959593,-7605.0774078749,-4011.8221620680547,-428.5406548230386
2019-04-22,2027,1893.9768860669394,1976.6187544189395,2057.0678355517716,-30.06783555177153,50.38124558106051,133.02311393306059,-7560.964427816419,-3963.653089988331,-368.5801644912235
2019-04-29,2086,2019.784849855708,2100.585267145975,2183.202186666209,-97.20218666620906,-14.585267145974967,66.21515014429191,-7575.073627468412,-3971.860894546296,-392.0016055772112
2019-05-06,2121,2019.2355672584665,2102.7712765016986,2182.2118956033773,-61.211895603377386,18.22872349830118,101.76443274153337,-7566.665534791373,-3958.1420451666245,-343.57225848828233
2019-05-13,2149,2019.2879751855585,2101.9751703403836,2181.846343600258,-32.846343600258066,47.024829659616216,129.7120248144415,-7508.713228604736,-3912.234954719035,-303.15414038450785
2019-05-20,2351,2018.711635349123,2102.8727090599778,2183.5361123256284,167.46388767437165,248.12729094002202,332.2883646508769,-7247.101889648778,-3658.1073321644226,-46.03729994377761
2019-05-27,2393,2207.417888200277,2286.952633575099,2370.224531334272,22.775468665727956,106.04736642490093,185.58211179972272,-7157.945656948323,-3556.345680475139,44.62890607537664
2019-06-03,2312,2208.274047546702,2289.3307455036083,2371.3596135036696,-59.35961350366988,22.66925449639143,103.72595245329774,-7136.843473434426,-3529.466495912852,71.67831619271206
2019-06-10,2412,2207.887191236109,2289.5339953636,2371.2588729558006,40.74112704419921,122.46600463640016,204.11280876389088,-7019.392136403471,-3409.8193110159546,174.88973043066673
2019-06-17,2543,2208.3717024702187,2290.3610199398745,2372.711526560227,170.288473439773,252.6389800601255,334.6282975297815,-6772.746785533793,-3159.2867462768722,444.28859844690544
2019-06-24,2501,2301.5859109390826,2383.942667421573,2466.6326673017275,34.36733269827271,117.05733257842735,199.4140890609172,-6652.307509995192,-3045.337858546577,559.5857308247839
2019-07-01,2417,2304.616846908469,2386.29001198236,2469.0457228857504,-52.04572288575046,30.70998801764017,112.38315309153096,-6620.110100592172,-3005.562678458263,598.4818630959188
2019-07-08,2399,2304.9602682210148,2386.5956526020937,2465.9016931753813,-66.90169317538148,12.40434739790635,94.0397317789852,-6612.9899428461695,-2990.843801586362,610.3731414727399
2019-07-15,2379,2304.12892321626,2386.5378725089713,2468.319482407177,-89.31948240717684,-7.537872508971077,74.87107678374004,-6626.190774670394,-2995.3228552889523,622.2715222289811
2019-07-22,2385,2304.612067235826,2387.5694003903,2469.003813103458,-84.00381310345803,-2.5694003902997338,80.38793276417388,-6641.817294125112,-2997.20982640106,619.027299590212
2019-07-29,2289,2190.743002158434,2273.39283648124,2353.7845536626523,-64.78455366265261,15.60716351875999,98.25699784156609,-6630.192754044393,-2982.2434930077566,631.4862860906574
2019-08-05,2276,2193.031075148822,2272.949107812534,2354.5887055996354,-78.58870559963566,3.0508921874663884,82.96892485117819,-6630.756901561394,-2972.7079395597425,630.1245641928526
2019-08-12,2264,2190.0304705836984,2274.0920357958366,2356.1717590550843,-92.1717590550843,-10.092035795836864,73.9695294163014,-6640.113036610292,-2981.7395109211448,628.3163254819692
2019-08-19,2255,2191.7669513618725,2275.0065969163925,2355.9525224919557,-100.95252249195565,-20.006596916392482,63.23304863812743,-6663.536124561527,-3011.231210939655,617.2276390982676
2019-08-26,2193,2129.0378112910453,2212.531685295675,2293.7801864130183,-100.7801864130186,-19.53168529567506,63.96218870895474,-6693.967785956055,-3032.0354397170568,592.1194096152673
2019-09-02,2177,2129.377230069456,2213.191846139308,2297.1045025481626,-120.10450254816269,-36.1918461393077,47.62276993054409,-6748.25177265982,-3062.3071980410805,567.545452463973
2019-09-09,2212,2131.6455392245507,2213.1742233557416,2294.8845550294054,-82.88455502940533,-1.1742233557413329,80.35446077544938,-6746.6790891851315,-3057.290406912399,564.4007042241564
2019-09-16,2267,2132.761632905881,2213.4978304376027,2295.539385037994,-28.539385037994272,53.50216956239751,134.23836709411893,-6696.098273172051,-3013.3329977880767,629.1443518196269
2019-09-23,2205,2134.2806335708824,2215.099362264137,2295.5514981232845,-90.55149812328455,-10.099362264136971,70.71936642911778,-6714.300220470172,-3025.8018778273154,621.3089384167255
2019-09-30,2190,1986.8565799069013,2068.359360460009,2150.556281061546,39.443718938454005,121.64063953999107,203.1434200930986,-6590.605219443542,-2893.384521032686,740.9504127849207
2019-10-07,2130,1987.6064547675157,2069.9387878778302,2150.78347464198,-20.783474641979772,60.06121212216976,142.39354523248417,-6541.472614338638,-2823.4904699347794,811.5334748207894
2019-10-14,2026,1989.0064199549972,2069.5253581174215,2151.348001443406,-125.34800144340595,-43.52535811742155,36.99358004500274,-6565.677454449083,-2870.721157737951,773.6234432068554
2019-10-21,2025,1989.6817191129987,2070.7107065411105,2153.363556804027,-128.363556804027,-45.71070654111054,35.318280887001215,-6606.898620323828,-2917.5899670352246,714.4854255384544
2019-10-28,2001,1913.394933288653,1995.9570457012924,2075.6700486502355,-74.67004865023527,5.042954298707741,87.60506671134696,-6624.758339154577,-2915.6107017992063,726.4097266516178
2019-11-04,2084,1914.865978096832,1996.070766010567,2077.4250077106453,6.5749922893544195,87.92923398943299,169.13402190316802,-6539.39695655088,-2827.0564050432067,813.6676349470935
2019-11-11,1996,1915.1691195222438,1996.368897479427,2078.5030651370835,-82.50306513708384,-0.36889747942700524,80.83088047775611,-6534.29435068636,-2823.6780204711054,801.9786501003035
2019-11-18,1978,1913.796679891974,1996.856751670669,2078.3463933074654,-100.34639330746552,-18.856751670668814,64.20332010802598,-6543.457777035693,-2849.840931161224,796.3244693648256
2019-11-25,2000,1895.57675679481,1977.9713768960974,2059.2246707092777,-59.22467070927771,22.028623103902646,104.42324320519002,-6535.527511110024,-2831.944414009552,820.0272702196007
2019-12-02,1896,1894.012807633298,1977.743625306694,2058.540971371315,-162.5409713713153,-81.74362530669396,1.987192366702036,-6627.684617661054,-2911.674739843671,755.4665674764477
2019-12-09,1873,1896.805648096864,1978.3771022830451,2058.889967581081,-185.88996758108084,-105.37710228304513,-23.805648096864008,-6725.3959696512275,-3014.3679271031197,641.3733898521583
2019-12-16,1967,1898.046519405346,1979.514314772109,2059.9590227868107,-92.95902278681058,-12.514314772108946,68.95348059465387,-6751.014364592856,-3031.5777282142544,617.458433175742
2019-12-23,2020,1897.4307104044212,1979.9383050527708,2060.490718118291,-40.49071811829108,40.06169494722917,122.56928959557865,-6711.336108622935,-2983.2823581978246,667.5628085773868
2019-12-30,2135,1916.2043943144408,1999.8481719481988,2081.8313385930123,53.16866140698783,135.1518280518012,218.79560568555914,-6578.47915761826,-2846.788501903086,795.1032912529993
2020-01-06,2054,1919.108130288345,1999.781955597801,2080.087991775133,-26.087991775132966,54.218044402198984,134.89186971165518,-6538.040495693731,-2802.7846121492576,844.5109210217403
2020-01-13,1999,1920.7716712568176,2001.790239213683,2081.201847145248,-82.20184714524798,-2.7902392136829803,78.22832874318229,-6532.746501851397,-2797.9896201444894,854.0303593161473
2020-01-20,2025,1919.621929120581,2001.4840239282048,2084.897009087088,-59.897009087087895,23.515976071795308,105.37807087941896,-6520.656067087103,-2780.575656893443,866.7549511140546
2020-01-27,1942,1866.3022755031916,1949.7040317704136,2031.5979535084223,-89.59795350842234,-7.704031770413508,75.69772449680833,-6521.34077607978,-2789.984901665139,860.1111794381474
2020-02-03,1986,1869.886085623092,1950.882109388422,2033.9374077640118,-47.9374077640119,35.117890611578105,116.1139143769081,-6485.116077425173,-2764.648278341897,887.620567753774
2020-02-10,1916,1868.552621001116,1951.8893554042343,2031.9723736622946,-115.9723736622945,-35.889355404234266,47.44737899888405,-6510.591594787568,-2794.7140801737496,862.0998833293753
2020-02-17,1863,1869.7765078508985,1952.0663902872202,2032.3289697050677,-169.32896970506775,-89.0663902872202,-6.776507850898564,-6602.916214869321,-2881.087286930147,783.5006271107878
2020-02-24,1904,1838.3084430843003,1919.0890496233033,2000.49754850771,-96.49754850771012,-15.089049623303367,65.6915569156997,-6630.210354348184,-2900.8001512363467,781.2942832295206
2020-03-02,1882,1839.9542569569167,1920.566584088009,2002.4107001616758,-120.41070016167595,-38.566584088008995,42.04574304308343,-6673.904171177517,-2936.279150110534,724.929025042098
2020-03-09,1938,1837.1528786023432,1919.7629650008828,2001.188514329572,-63.188514329571866,18.237034999117213,100.84712139765665,-6671.430866609035,-2921.565781857462,765.0776393240699
2020-03-16,2019,1837.7402457017677,1920.1939590053657,2000.5664319748453,18.433568025154663,98.80604099463437,181.25975429823225,-6564.431761349786,-2823.2227194732245,852.7095157858828
2020-03-23,2019,1840.3584767063235,1921.7561876315206,2002.4284786215746,16.571521378425263,97.24381236847944,178.6415232936764,-6481.244207820529,-2724.469920996422,955.0620614964565
2020-03-30,2069,1921.6952167913641,2004.3163133615003,2085.7711068807635,-16.771106880763337,64.68368663849981,147.30478320863585,-6417.442117016644,-2665.480066944655,1022.9660346030491
2020-04-06,2026,1922.7968632714362,2004.2843151833913,2087.2619829282444,-61.26198292824436,21.7156848166087,103.20313672856369,-6406.534402640465,-2641.00384904543,1050.293521496314
2020-04-13,2096,1923.1156727819039,2004.813981932045,2086.0031142525077,9.9968857474923,91.18601806795505,172.884327218096,-6322.432886531301,-2549.689782370493,1147.8745348624773
2020-04-20,2119,1924.5965131690045,2005.7471032979568,2086.10449562487,32.89550437512999,113.25289670204324,194.40348683099535,-6221.144472910687,-2434.0617601867207,1256.5908869268853
2020-04-27,2089,2050.0240764058385,2131.575418242268,2214.054448333462,-125.05444833346218,-42.575418242267915,38.97592359416143,-6261.646090218386,-2477.8716961981763,1201.6238273290585
2020-05-04,2291,2051.197622948881,2132.003273808628,2213.1308641449405,77.8691358550595,158.9967261913721,239.8023770511191,-6109.651453862759,-2319.5574440576556,1385.8794428304407
2020-05-11,2521,2049.191991081421,2132.163656110052,2213.479093992267,307.520906007733,388.836343889948,471.80800891857933,-5721.196669889836,-1927.3871431700823,1768.6827474118015
2020-05-18,3037,2049.6854931875687,2131.57136120828,2213.104773695416,823.8952263045841,905.4286387917202,987.3145068124314,-4822.946724582084,-1028.4892993644005,2671.32855026408
2020-05-25,3488,2240.0557660311893,2318.302052573452,2401.7940347112817,1086.2059652887183,1169.697947426548,1247.9442339688107,-3645.0979285450103,139.3470516003631,3836.502075670349
2020-06-01,3856,2239.507709593564,2320.092196163763,2401.282734556664,1454.717265443336,1535.9078038362368,1616.4922904064358,-2101.490564377221,1677.8311792453744,5375.2771870501065
2020-06-08,4030,2238.293583639158,2320.0148697069635,2401.271975204345,1628.728024795655,1709.9851302930363,1791.706416360842,-412.4718361644072,3382.7076946693924,7112.947846484786
2020-06-15,3644,2239.9110717522904,2320.807591986191,2403.470587210926,1240.529412789074,1323.1924080138092,1404.0889282477094,920.2978787798527,4709.4854270426895,8432.804832785521
2020-06-22,3497,2241.1710664489865,2321.0724940398877,2403.5600007854496,1093.4399992145504,1175.9275059601123,1255.8289335510133,2094.3957411243573,5881.72823844338,9602.195058320896
2020-06-29,3042,2330.076897341058,2415.0276741021808,2498.0457562862875,543.9542437137125,626.972325897819,711.9231026589418,2697.123183756056,6509.17624676754,10257.730279812304
2020-07-06,2974,2333.4604345819166,2415.7742286905136,2496.732477907917,477.2675220920827,558.2257713094864,640.5395654180833,3253.8131725494186,7069.558029572078,10817.395056253123
2020-07-13,2732,2333.217998853633,2415.3640071329187,2496.6572928792048,235.34270712079532,316.6359928670813,398.78200114636695,3562.700641469947,7384.195490966962,11100.093957428599
2020-07-20,2747,2336.5541498848625,2417.368144093571,2498.7619546116925,248.23804538830728,329.6318559064289,410.4458501151373,3894.7138896631755,7717.341953530844,11460.141954947881
2020-07-27,2600,2220.8790940982167,2303.5962859563833,2383.6606876063684,216.3393123936318,296.40371404361645,379.12090590178315,4205.559503720119,8018.0907962331385,11747.604011618098
2020-08-03,2470,2220.0520501949195,2303.5301886409206,2387.095101343874,82.90489865612605,166.46981135907936,249.9479498050802,4364.942160608857,8180.5707093502015,11911.839153411378
2020-08-10,2494,2222.9540261128564,2304.787727536207,2386.1132969830546,107.88670301694545,189.21227246379317,271.0459738871437,4534.131911948909,8380.601299113518,12103.510928528738
2020-08-17,2620,2223.2376216588295,2303.6449967322287,2386.1111590818227,233.88884091817746,316.3550032677713,396.7623783411706,4865.988807723863,8691.941529052974,12427.683666301746
2020-08-24,2429,2222.8129010579937,2304.45261318976,2387.780924134172,41.219075865827925,124.54738681023969,206.18709894200623,4979.2971896000345,8812.548699693016,12555.188420059925
2020-08-31,2409,2158.800370571027,2241.1922122440346,2325.0841176964586,83.9158823035414,167.80778775596536,250.1996294289727,5142.2022590978195,8986.413022321934,12709.121311419169
2020-09-07,2401,2161.682651431985,2243.399876069315,2323.4595629386445,77.54043706135535,157.60012393068496,239.31734856801512,5301.778262253016,9147.775617569485,12872.908225944862
2020-09-14,2402,2160.6794276908527,2243.56291484725,2325.7178408131635,76.28215918683625,158.4370851527499,241.3205723091475,5462.087485714165,9297.153684389992,13035.914624291283
2020-09-21,2349,2163.680539500122,2244.12472387488,2326.554589679195,22.44541032080504,104.87527612511985,185.31946049987786,5570.634910046049,9398.2862617059,13131.940197214091
2020-09-28,2348,2016.666061362255,2098.7072433268368,2179.2850266176606,168.7149733823396,249.29275667316324,331.33393863774484,5817.636087503537,9651.638152952399,13391.283411613176
2020-10-05,2397,2018.1999872622268,2100.9154612335337,2183.190852582985,213.8091474170152,296.08453876646627,378.80001273777316,6100.707985625102,9954.768531247879,13698.583443795325
2020-10-12,2292,2018.7644432359666,2100.3407367832488,2179.6993682951606,112.30063170483956,191.65926321675124,273.23555676403333,6286.191696355223,10142.313757991898,13882.959917600909
2020-10-19,2286,2017.157222572777,2101.107614576855,2181.884393816789,104.115606183211,184.8923854231448,268.8427774272228,6467.569880951397,10320.285536188674,14073.567064991224
2020-10-26,2280,1942.3807811774534,2024.6297582577042,2106.0149811751526,173.9850188248473,255.37024174229578,337.61921882254654,6723.575248437828,10579.378006714098,14324.233044187018
2020-11-02,2202,1946.7051409454316,2025.7547529342644,2107.0481026000202,94.95189739997966,176.2452470657356,255.29485905456843,6909.868772194004,10752.205369911544,14494.981964372819
2020-11-09,2136,1946.7443956942338,2025.2900703398577,2106.992067182146,29.007932817854023,110.7099296601424,189.25560430576604,7017.872988185232,10862.564770751196,14609.520430853763
2020-11-16,2204,1946.2610249140212,2026.4418404395092,2109.56699466816,94.43300533183974,177.55815956049082,257.7389750859789,7176.34818226966,11042.164391135513,14798.256042990235
2020-11-23,2185,1946.5496432762545,2026.1847629817394,2108.8250734751773,76.17492652482242,158.81523701826052,238.45035672374553,7316.694821167407,11203.872915589625,14963.463392616577
2020-11-30,2201,1926.5158540943455,2007.036516041691,2089.5544029225384,111.44559707746168,193.9634839583091,274.48414590565443,7510.112716375836,11389.542483209323,15150.487514101811
2020-12-07,2161,1927.5966645328297,2007.7168416785084,2090.984798872764,70.01520112723608,153.28315832149144,233.40333546717036,7680.392923891034,11542.46824229383,15305.739619008067
